Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Finn Sködt,Luonnos Alkupiste-hahmomallia varten,,graphics,,1991,,1944,,,1989
Outi Heiskanen,Pilvilinna ja piilopirtti,,graphics,,1991,,1937,,,1990
Marja Kanervo,Nimetön,,,,2009,,1958,,,1995
Marianna Uutinen,Nimetön,,graphics,,2007,,1961,,,1994
Jesper Just,,,video art,,2007,,1974,,,2007
Alexander Petljura,"Tavaravaltakunta, Tarina 9 Timantteja työläisille",,,,2004,,1955,,,2000
Risto Laakkonen,SSU (Sano se ujosti),,,,2007,,,,,1981
Bill Woodrow,Porkkana! Porkkana!,,graphics,,1991,,1948,,,1988
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Anni Leppälä,For Recovery (Black Ship),,object,,2008,,1981,,,2008
Tuija Arminen,Teatterissa,,object,,2004,,1968,,,2004
Alexander Petljura,"Tavaravaltakunta, Tarina 10 Hyvästi kyyhkyset!",,,,2004,,1955,,,2000
Franco Verdi,Nimetön,,graphics,,1991,,1934,,,
Giuseppe Viola,L'uomo e la citta,,painting,,1991,,1933,,,1986
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2014
Håkan Rehnberg,Orfeus,,painting,,1991,,1953,,,1990
Stig Baumgartner,Yksityinen kokoelma,,painting,,2007,,1969,,,2006
Petri Makkonen,Suunnittelija,,,,2004,,1965,,,2000
Océane Bruel,,,graphics,,2020,,1991,,,2020
Alexander Petljura,"Tavaravaltakunta, Tarina 5 Kuollut tiedustelija",,,,2004,,1955,,,2000
David Tremlett,Nimetön,,graphics,,1991,,1945,,,1987
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2014
Océane Bruel,,,graphics,,2020,,1991,,,2020
Marianna Uutinen,Nimetön,,graphics,,2007,,1961,,,1987
Kalervo Palsa,Omakuva,,graphics,,1999,,1947,1987,,1967
Kalervo Palsa,nimetön ; luonnos,,graphics,,1999,,1947,1987,,1986
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Pasi Myllymäki,Viisi reikää selluloidissa,,,,2007,,1950,,,1980
Olli Marttila,Nimetön,,graphics,,2018,,1948,,,2009
Jussi Goman,Sisustussuunnittelijan kuolema,,painting,,2018,,1980,,,2013
Anni Leppälä,Feeding,,graphics,,2008,,1981,,,2007
Kalervo Palsa,nimetön (maisema),,graphics,,1999,,1947,1987,,
Henry Wuorila-Stenberg,Rakastavaiset,,graphics,,2018,,1949,,,
Donald Judd,Nimetön,,object,,1991,,1928,,,1989
Heli Rekula,,,,,2005,,1963,,,2000
Marianna Uutinen,Nimetön,,graphics,,2007,,1961,,,1987
Viggo Wallensköld,Huone,,painting,,2008,,1969,,,2007
Alexander Petljura,"Tavaravaltakunta, Tarina 3 Punakaarti",,,,2004,,1955,,,2000
Anni Leppälä,Swan 1 (Becoming a Picture),,object,,2008,,1981,,,2008
Gary Stephan,Nimetön,,graphics,,1991,,1942,,,1986
Lauri Astala,Pieni spektaakkeli läheisyydestä,,object,,2007,,1958,,,2005
Seppo Salminen,,,,,2005,,1956,,,2005
Outi Pienimäki,Piirustuksia sarjasta Maailma koostuu ykkösestä ja nollasta; Sidottu,,graphics,,2004,,1959,,,2003
Alge Julija Kavaliauskaite,,,graphics,,2017,,1992,,,2016
Outi Pienimäki,Piirustuksia sarjasta Maailma koostuu ykkösestä ja nollasta; Uusi aika,,graphics,,2004,,1959,,,2003
Anna Tuori,Icaria,,painting,,2005,,1976,,,2005
Kalervo Palsa,nimetön ; luonnos,,graphics,,1999,,1947,1987,,1973
Marianna Uutinen,"Luonnos maalaukseen ""You Don't Fuck With Me (Original ReMix)
(”Älä jumalauta mulle rupee (Original ReMix)”)",,graphics,,2007,,1961,,,1999
Kari Cavén,Piukat paikat,,object,,1991,,1954,,,1989
Marianna Uutinen,Nimetön,,graphics,,2007,,1961,,,1987
