Artist,Title,Medium,Year_acquisition
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997
Manuel Ángeles Ortiz,Botellas y periódicos (Bottles and Newspapers),Painting,1988
Manuel Ángeles Ortiz,Paseo de los cipreses (The Cypress Walk),Painting,1988
Manuel Ángeles Ortiz,Albaicin,Painting,1988
Manuel Ángeles Ortiz,Campo de Granada (Granada Field),Painting,2001
Manuel Ángeles Ortiz,Conjunto de imágenes en forma rectangular y posiciones combinadas (Set of Images in Rectangular Shape and Combined Positions),Painting,1988
Hermen Anglada Camarasa,Paisaje (Landscape),Painting,1988
Hermen Anglada Camarasa,Démarche gitane (The Gypsy Way of Walking),Painting,1988
Hermen Anglada Camarasa,La gitana de las granadas (The Gypsy of the Pomegranates),Painting,1988
Hermen Anglada Camarasa,La novia de Benimamet (The Bride from Benimamet),Painting,1999
Hermen Anglada Camarasa,Sonia de Klamery (de pie) (Sonia de Klamery [Standing]),Painting,1988
Hermen Anglada Camarasa,Sonia de Klamery (echada) (Sonia de Klamery [Lying]),Painting,1988
Hermen Anglada Camarasa,Duquesa de Dúrcal (Duchess of Dúrcal),Painting,1988
Hermen Anglada Camarasa,Llegada de la romería del arroz (Pilgrimage Followed by a Picnic of Rice),Painting,1988
James Craig Annan,A Blind Musician–Granada,Photography,2005
James Craig Annan,A Carpenter´s Shop–Toledo,Photography,2005
James Craig Annan,Group on a Hill Road–Granada,Photography,2005
James Craig Annan,Bridge of St. Martin–Toledo,Photography,2005
James Craig Annan,Old Church–Burgos,Photography,2005
James Craig Annan,A Square–Ronda,Photography,2005
James Craig Annan,A Gateway–Segovia,Photography,2005
James Craig Annan,A Gitana–Granada,Photography,2005
Anónimo,Bei unsere helden an der Somme (The Heroes of the Somme),Film,
Anónimo,La mujer y la guerra (The woman and the war),Video,
Anónimo,España en la feria mundial de Nueva York (Spain in the New York world fair),Video,
Anónimo,Diario Spagnolo. Making-of del rodaje de la película Cabezas cortadas de Glauber Rocha (Diario Spagnolo. Behind the Scenes of the Filming of Glauber Rocha’s Film Cabezas cortadas [Cutting Heads]),Video,
Anónimo,San Sebastián,Photography,2005
Anónimo,Granada. Panorama del Albaicín (Granada. Panorama of the Albaicín),Photography,2005
Anónimo,Barcelona,Photography,2005
Anónimo,Alicante,Photography,2005
Anónimo,Santander,Photography,2005
Anónimo,Sevilla. Panorama desde Triana (Seville. Panorama from Triana),Photography,2005
Anónimo,Sevilla. Panorama desde la Pasadera [sic] (Seville. Panorama from the Pasadera [sic]),Photography,2005
Anónimo,Sevilla. Panorama desde los jardines del Alcázar (Seville. Panorama from the Alcázar Gardens),Photography,2005
Anónimo,Granada. Panorama de la Alhambra (Granada. Panorama of the Alhambra),Photography,2005
Anónimo,Cádiz,Photography,2005
Anónimo,Málaga. Panorama desde La Farola (Malaga. Panorama from La Farola),Photography,2005
Anónimo,Málaga,Photography,2005
Anónimo,Cartagena. Panorama del Puerto (Cartagena. Panorama of the Port),Photography,2005
Anónimo,Barcelona. Panorama de Barceloneta (Barcelona. Panorama of Barceloneta),Photography,2005
Anónimo,Fuenterrabía. Vista general tomada desde Hendaya (Fuenterrabía. General View from Hendaya),Photography,2005
Anónimo,San Sebastián,Photography,2005
Anónimo,Barcelona. Plaza de Cataluña (Barcelona. Cataluña Square),Photography,2005
Anónimo,Barcelona. Rambla del Centro,Photography,2005
Anónimo,Valencia. Plaza de la Reina,Photography,2005
Anónimo,Madrid. Estación del Norte y Palacio Real (Madrid. North Station and the Royal Palace),Photography,2005
Anónimo,Madrid. Puerta del Sol,Photography,2005
Anónimo,Madrid. La Equitativa,Photography,2005
Anónimo,Madrid. Ministerio de la Guerra (Madrid. Ministry of Defence),Photography,2005
Anónimo,Pasajes. El puerto (Guipúzcoa) (Pasajes. The Port [Guipúzcoa]),Photography,2005
Anónimo,Santander. Vista general del muelle de Calderón (Santander. General View of the Calderón Pier),Photography,2005
Anónimo,Santander. Muelle de Maliaño (Santander. Maliaño Pier),Photography,2005
Anónimo,Santander. Sardinero. La estación (Santander. Sardinero. The Station),Photography,2005
Anónimo,Sevilla. Plaza de la Constitución (Sevilla. Plaza de la Constitución),Photography,2005
Anónimo,Sevilla. El Prado de San Sebastián (Seville. Prado de San Sebastián Park),Photography,2005
Anónimo,Cartagena. Vista general desde el puerto (Cartagena. General View from the Port),Photography,2005
Anónimo,Cartagena. Vista general con el Arsenal (Cartagena. General View with the Naval Dockyard),Photography,2005
Anónimo,Huelva. El muelle de Río Tinto (Huelva. Jetty on the Tinto River),Photography,2005
Anónimo,La Coruña,Photography,2005
