,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
12082,Alberto Magnelli,nimetön,,1950,1888,1971
12083,Ina Colliander,Äidin kuolema,,1945,1905,1985
12084,Eero Nelimarkka,Vaasan rantapuisto,,1917,1891,1977
12085,Venny Soldan-Brofeldt,Antti kallioisella rannalla,,1908,1863,1945
12087,Anders Ekman,Keskiaikaisiin varusteisiin pukeutunut sotilas murtaa rautaoven,1913,1853,1833,1855
12088,Carl Eneas Sjöstrand,Seurue ; Luonnos enkelistä (kaksipuolinen teos),,,1828,1906
12089,Albert Edelfelt,Sotilasharjoitelmia,1935,,1854,1905
12090,Tuulikki Pietilä,Rantakivikkoa (Saaristo 63),,1978,1917,2009
12091,Carl Eneas Sjöstrand,Mies Rikkarannankylästä,,1857,1828,1906
12092,Berndt Abraham Godenhjelm,Muinaispohjoismainen sotilas laskeutuu portaita lapsi käsivarrellaan; Kuningas Fjalarin kuvitusta? Takasivulla sommitelmaluonnos: figuuri ja ryhmä,1913,,1799,1881
12093,Berndt Abraham Godenhjelm,Allegorinen kohtaus,1913,,1799,1881
12094,Werner Holmberg,Talonpoika härän vetämillä kärryillä,1913,1848,1830,1860
12095,Berndt Abraham Godenhjelm,"Kuolema lähestyy halkoja kantavaa ukkoa sekä hevosen, härän ja miehen ryhmä",1913,,1799,1881
12096,Albert Edelfelt,Pikkuharjoitelmia,1935,,1854,1905
12097,Tuulikki Pietilä,La Belle Époque II,,1975,1917,2009
12098,Tuulikki Pietilä,Kiekot,,1971,1917,2009
12099,Berndt Abraham Godenhjelm,"Maisema, istuva nainen ja kerjäläinen seisomassa hänen vierellään. Vasemmalla luonnosteltu tyttö, taka-alalla maalaistalo",1913,,1799,1881
12100,Signe Hammarsten-Jansson,S.W. Sipilän pilakuva,,,1882,1970
12101,Robert Wilhelm Ekman,Talonpoikaistyttö padan ääressä,,,1808,1873
12102,Tuulikki Pietilä,"""Grande Canale"" (Saaristo 32)",,1977,1917,2009
12104,Marjo Lahtinen,Naisen torso,,1982,1944,
12105,Eero Snellman,Luxembourgin puistosta,,1913,1890,1951
12107,Outi Heiskanen,nimetön,,1997,1937,
12108,Tapani Raittila,Päärynäasetelma,,2002,1921,2018
12109,Mikko Oinonen,Ranskalainen työhevosvaljakko,1916,1908,1883,1956
12110,Inari Krohn,Lehtokurppa ja sammakko,,1967,1945,
12111,Pentti Kaskipuro,Yksi ja puoli suolakurkkua,,1978,1930,2010
12112,Inari Krohn,Hiiri,,1979,1945,
12115,Tapani Raittila,nimetön,,1976,1921,2018
12116,Pentti Kaskipuro,"luonnos, seisova nainen",,,1930,2010
12117,Tapani Raittila,"Croquis, seisova nainen",,1992,1921,2018
12118,Tapani Raittila,"Croquis, seisova nainen",,,1921,2018
12119,Pentti Kaskipuro,Päästäinen,,1974,1930,2010
12120,Kain Tapper,luonnos,,1996,1930,2004
12121,Inari Krohn,Käki,,1968,1945,
12122,Inari Krohn,Puutarha,,1995,1945,
12123,Inari Krohn,Kevätilta,,2006,1945,
12125,Berndt Abraham Godenhjelm,"Keskeneräinen tutkielma arabista, joka pitelee hevosta. Mies nojaa sänkyyn, jossa makaa nainen. Lattialla vasemmalla on kehto. (kaksipuolinen piir.)",1913,,1799,1881
12126,Berndt Abraham Godenhjelm,Neitsyt Marian kirkastus tai taivaaseenastuminen? Liitelevä nainen valon ympärille polvistuneen neljän miehen yllä. Oikealla Kristus kruunu päässä.,1913,,1799,1881
12127,Tuulikki Pietilä,Rantakalliot ja meri (Saaristo 66),,1978,1917,2009
12128,Aune Mikkonen,Polku,,1979,1922,2002
12129,Tuulikki Pietilä,Pieni tyrsky (Saaristo 12),,1976,1917,2009
12130,Carl Eneas Sjöstrand,"Suomalainen kiekonheittäjä, luonnos veistosta varten",,1870,1828,1906
12131,Tuulikki Pietilä,Ulkosaaristo - Gloet VI,,1980,1917,2009
12132,Anders Ekman,"Are-linnan rauniot, näkymä kahden porttiholvin läpi",1913,1854,1833,1855
12133,Berndt Abraham Godenhjelm,"Harjoitelma alttaritauluun ""Kristuksen ylösnousemus""",1913,,1799,1881
12134,Pentti Kaskipuro,Mies pöydän ääressä,,1955,1930,2010
12135,Tuulikki Pietilä,Ladut,,1970,1917,2009
12136,Tuulikki Pietilä,Sade (La Belle Époque),,1975,1917,2009
12137,Jaakko Sievänen,Taisto Ahtola,,1969,1932,2013
12138,Tuulikki Pietilä,Kevät (sarjasta Toiset maailmat),,1969,1917,2009
12139,Berndt Abraham Godenhjelm,"Tutkielma selin seisovasta talonpojasta sekä ryhmä, jossa itkevä Maria apostolin vierellä",1913,,1799,1881
12141,Tuulikki Pietilä,Klovharu (Saaristo 43),,1978,1917,2009
12142,Carl Eneas Sjöstrand,Mailaa pitelevä mies takaapäin,,,1828,1906
12143,Magnus von Wright,Träskändan kartanosta,,1850,1805,1868
12144,Tapani Raittila,"Croquis, seisova nainen",,1993,1921,2018
12145,Oki Räisänen,"Pilakuva, kaksi keinutuolissa istuvaa ukkoa",,1936,1886,1950
12146,Topi Vikstedt,"""Nummisuutarien"" kuvitusta, kuva siv. 52, 1923, Esko ja Mikko lähtevät, ensimmäisen näytöksen",,1923,1891,1930
